url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://jobs.ashbyhq.com/furtherai/fdbf6b32-97e5-49a7-9296-d7f38f265b1a?embed=js	2026-09-07	Ashby India	Senior Software Engineer - Backend/Fullstack [India]	FurtherAI	skipped_dup	India		2026-06-12			furtherai
https://careers.airbnb.com/positions/8154477?gh_jid=8154477	2026-09-07	greenhouse-api	Senior Software Engineer(AI/ML), Trust	Airbnb	added	Bangalore, India	0f782da0cd221404	2026-08-25			airbnb
https://careers.airbnb.com/positions/8138002?gh_jid=8138002	2026-09-07	greenhouse-api	Senior Software Engineer, Payments Platform	Airbnb	added	Remote, USA	400d561a87b47d69	2026-08-19			airbnb
https://careers.airbnb.com/positions/8130787?gh_jid=8130787	2026-09-07	greenhouse-api	Staff Software Engineer, Payments Compliance	Airbnb	added	Remote - US	03475cdba4faa71d	2026-08-18			airbnb
https://www.okta.com/company/careers/opportunity/8127234?gh_jid=8127234	2026-09-07	greenhouse-api	Principal Software Engineer - PAM	Okta	added	Bengaluru, India	4060f9cdafefb8bb	2026-08-20			okta
https://www.okta.com/company/careers/opportunity/8146810?gh_jid=8146810	2026-09-07	greenhouse-api	Senior Software Engineer, Identity Administration	Okta	added	Bengaluru, India	0200aac1fd66f4ea	2026-08-23			okta
https://www.okta.com/company/careers/opportunity/8147071?gh_jid=8147071	2026-09-07	greenhouse-api	Staff Software Engineer, Identity Administration	Okta	added	Bengaluru, India	2200e9c5fd4cd5ea	2026-08-23			okta
https://www.okta.com/company/careers/opportunity/7831189?gh_jid=7831189	2026-09-07	greenhouse-api	Staff Software Engineer, Identity Administration (Full Stack)	Okta	added	Bengaluru, India	0240f9c3fd6e5422	2026-08-24			okta
https://job-boards.greenhouse.io/gitlab/jobs/8698314002	2026-09-07	greenhouse-api	Backend Engineer, AI Engineering: Duo Chat	GitLab	added	Remote, Canada; Remote, United States	918273e2abf34ee3	2026-08-20			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8698330002	2026-09-07	greenhouse-api	Fullstack Engineer (TypeScript), AI Engineering: Duo Client SDK	GitLab	added	Remote, Canada; Remote, United States	bd65dd68eb3727eb	2026-08-21			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8736877002	2026-09-07	greenhouse-api	Intermediate Backend Engineer	GitLab	added	Bangalore, India	f56ac8e9a839ab8b	2026-09-03			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8773006002	2026-09-07	greenhouse-api	Intermediate Backend Engineer, AMER	GitLab	added	Remote, Canada; Remote, United States	f56ac8e9a839ab83	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8722304002	2026-09-07	greenhouse-api	Intermediate Backend Engineer - Database Change Management	GitLab	added	Bangalore, India	b3fbda5a4cb787cb	2026-08-24			gitlab
